particionamento,tamanho,recursoes,trocas,tempo
RANDOM-LOMUTO,100,135,359,0.007000
RANDOM-LOMUTO,1000,1353,6138,0.077000
RANDOM-LOMUTO,10000,13561,78680,0.978000
RANDOM-LOMUTO,100000,135545,1092079,12.387000
RANDOM-LOMUTO,1000000,1353901,12437212,134.752000
RANDOM-HOARE,100,141,228,0.006000
RANDOM-HOARE,1000,1337,3083,0.065000
RANDOM-HOARE,10000,13527,38806,0.796000
RANDOM-HOARE,100000,135401,460805,9.566000
RANDOM-HOARE,1000000,1354291,5362268,108.343000
MEDIANA3-LOMUTO,100,133,284,0.005000
MEDIANA3-LOMUTO,1000,1357,6309,0.070000
MEDIANA3-LOMUTO,10000,13459,85617,0.902000
MEDIANA3-LOMUTO,100000,135451,1062795,11.038000
MEDIANA3-LOMUTO,1000000,1354637,12178202,129.446000
MEDIANA3-HOARE,100,137,227,0.005000
MEDIANA3-HOARE,1000,1371,3090,0.065000
MEDIANA3-HOARE,10000,13587,38043,0.786000
MEDIANA3-HOARE,100000,135423,461178,9.386000
MEDIANA3-HOARE,1000000,1355077,5386782,108.309000
